title,abstract,domain,technologies,Year,source_url
AI-Powered Smart Home Energy Optimizer,An IoT system that uses machine learning to analyze energy consumption patterns and automatically controls appliances to minimize waste and reduce electricity bills.,"IoT, AI","Python, TensorFlow, Raspberry Pi, Sensors, MQTT",2023.0,
Real-Time Fake News Detector,"A browser extension and web dashboard that uses NLP to analyze news articles and social media posts in real-time, providing a credibility score.","AI, NLP","Python, Transformers (BERT), Flask, JavaScript",2024.0,
Blockchain-Based Secure Voting System,"A decentralized application (DApp) that ensures transparent, tamper-proof, and anonymous voting for organizational or small-scale elections.","Blockchain, Web Dev","Solidity, Web3.js, React, Node.js, Ganache",2023.0,
Predictive Maintenance for Industrial Motors,An IoT solution that uses vibration and sound sensors with a machine learning model to predict failures in industrial equipment before they occur.,"Data Science, IoT","Python, Scikit-learn, Azure IoT Hub, Sensors",2024.0,
AR-Based Interior Design App,A mobile application that allows users to visualize furniture and decor in their own space in real-time using augmented reality.,"AR/VR,","Unity3D, ARKit/ARCore, C#, Firebase",2023.0,
Cybersecurity Threat Intelligence Dashboard,"A centralized platform that aggregates and analyzes threats from various sources (dark web, logs, APIs) to provide actionable insights for security teams.","Cybersecurity,","Python, Django, React, Elasticsearch, MISP",2024.0,
AI-Powered Medical Diagnosis Assistant,"A web-based tool that uses a convolutional neural network (CNN) to analyze medical images (e.g., X-rays, skin lesions) and assist doctors with preliminary diagnosis.","AI, Healthcare","Python, TensorFlow, Keras, Streamlit, DICOM",2023.0,
Smart Agriculture IoT System,"A system that monitors soil moisture, temperature, and humidity, and automates irrigation and provides insights to farmers via a mobile app.","IoT,","Arduino/ESP32, Blynk/ThingSpeak, Sensors, Cloud Functions",2024.0,
E-Commerce Recommendation Engine,A deep learning-based system that provides personalized product recommendations by analyzing user behavior and purchase history.,"Data Science, AI","Python, PyTorch, Recommenders, Flask, PostgreSQL",2023.0,
Automated Code Review Assistant,"An AI tool that integrates with GitHub to automatically review pull requests, suggest improvements, and detect bugs and security vulnerabilities.","AI, Web Dev","Python, GPT API, GitHub Actions, FastAPI",2024.0,
Voice-Controlled Home Automation,"A system that allows users to control lights, fans, and other appliances using voice commands via a custom-built smart speaker.","IoT, AI","Raspberry Pi, Python, SpeechRecognition, IFTTT, Relay Modules",2023.0,
